id,name,description,price
364466,"GIGABYTE GeForce RTX 3060 GAMING OC 8G LHR, 8GB GDDR6","Grafická karta v podání Gigabyte, rozhraní PCIe 4.0, architektura Ampere, frekvence 1807 MHz, 8 GB GDDR6 paměti, rychlost paměti 15 Gb/s, 128-bit sběrnice, konektory: 2x HDMI 2.1, 2x DisplayPort 1.4a; napájení 1x 8-pin, max. rozlišení 7680x4320 @ 60 Hz, OpenGL 4.6, DirectX 12 Ultimate.",7 089 Kč
377628,"GIGABYTE GeForce RTX 4060 GAMING OC 8G, 8GB GDDR6","Grafická karta v podání Gigabyte, rozhraní PCIe 4.0 x8, architektura NVIDIA Ada Lovelace, DLSS 3, 8 GB GDDR6 paměti, rychlost paměti 17 Gb/s, 128-bit sběrnice, 3 072 CUDA jader, konektory: 2x HDMI 2.1a, 2x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",8 789 Kč
307106,"ASUS GeForce GT1030-2G-BRK, 2GB GDDR5","Kvalitní grafická karta, PCIe 3.0, architektura Pascal, aktivní chlazení, frekvence až 1506 MHz (boost v režimu OC), 2 GB GDDR5 paměti s frekvencí 6 008 MHz, 64-bit sběrnice, 1x HDMI, 1x DisplayPort, GPU Tweak II.",2 199 Kč
379613,"GIGABYTE GeForce RTX 4060 Ti GAMING OC 16G, 16GB GDDR6","Grafická karta v podání Gigabyte, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, DLSS 3, základní frekvence 2595 MHz, 16 GB GDDR6 paměti, rychlost paměti 18 Gb/s, 128-bit sběrnice, 4 352 CUDA jader, konektory: 2x HDMI 2.1a, 2x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2,5-slotový design.",13 489 Kč
377630,"GIGABYTE GeForce RTX 4060 WINDFORCE OC 8G, 8GB GDDR6","Grafická karta v podání Gigabyte, rozhraní PCIe 4.0 x8, architektura NVIDIA Ada Lovelace, DLSS 3, 8 GB GDDR6 paměti, rychlost paměti 17 Gb/s, 128-bit sběrnice, 3 072 CUDA jader, konektory: 2x HDMI 2.1a, 2x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",7 999 Kč
377629,"GIGABYTE GeForce RTX 4060 EAGLE OC 8G, 8GB GDDR6","Grafická karta v podání Gigabyte, rozhraní PCIe 4.0 x8, architektura NVIDIA Ada Lovelace, DLSS 3, 8 GB GDDR6 paměti, rychlost paměti 17 Gb/s, 128-bit sběrnice, 3 072 CUDA jader, konektory: 2x HDMI 2.1a, 2x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",8 449 Kč
388141,"GIGABYTE GeForce RTX 4060 D6 8G, 8GB GDDR6","Grafická karta v podání Gigabyte, rozhraní PCIe 4.0 x8, architektura NVIDIA Ada Lovelace, DLSS 3, 8 GB GDDR6 paměti, rychlost paměti 17 Gb/s, 128-bit sběrnice, 3 072 CUDA jader, konektory: 2x HDMI 2.1a, 2x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový kompaktní design.",7 889 Kč
374872,"GIGABYTE GeForce RTX 4060 Ti EAGLE, 8GB GDDR6","Grafická karta v podání Gigabyte, rozhraní PCIe 4.0 x16, architektura NVIDIA Ada Lovelace, DLSS 3, základní frekvence 2535 MHz, 8 GB GDDR6 paměti, rychlost paměti 18 Gb/s, 128-bit sběrnice, 4 352 CUDA jader, konektory: 2x HDMI 2.1a, 2x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate, 2-slotový design.",11 269 Kč
213794,"ASUS GeForce PH-GT1030-O2G, 2GB GDDR5","Kvalitní grafická karta, PCIe 3.0, architektura Pascal, základní frekvence 1252/1278 MHz (režim Gaming/OC), 2 GB GDDR5 paměti s frekvencí 6 008 MHz, 64-bit sběrnice, 1x HDMI, 1x DVI-D, NVIDIA GPU Boost 2.0, GPU Tweak II s XSplit Gamecaster.",2 690 Kč
377626,"GIGABYTE GeForce RTX 4060 ELITE 8G, 8GB GDDR6","Grafická karta v podání Gigabyte, rozhraní PCIe 4.0 x8, architektura NVIDIA Ada Lovelace, DLSS 3, 8 GB GDDR6 paměti, rychlost paměti 17 Gb/s, 128-bit sběrnice, 3 072 CUDA jader, konektory: 2x HDMI 2.1a, 2x DisplayPort 1.4a; napájení 1x 8-pin, OpenGL 4.6, DirectX 12 Ultimate.",10 289 Kč
